name, version,
apache-sanselan-incubating,0.97,
bcel,6.3,
beanutils,1.5,
bsf,3.1,
bsf,2.4.0,
cli,1.0,
attributes,2.1,
beanutils,1.9.3,
betwixt,1.0-alpha-1,
chain,1.2,
cli,1.4,
codec,1.9,
compress,1.9,
configuration,22.4,
crypto,1.0.0,
csv,1.6,
daemon,1.1.0,
dbcp2,2.6.0,
dbutils,1.7,
digester3,3.2,
discovery,0.5,
appache el,1.0,
appache email,1.5,
appache exec,1.0,
appache fileupload,1.4,
appache io,2.6,
jelly,1.0,
jexl,3.1,
jxpath,1.3,
lang3,3.8.1,
appache  lang,2.6,
logging,1.2,
appache  math3,3.6.1,
modeler,2.0,
appache  net,3.6,
pool2,2.6.1,
primitives,1.0,
proxy,1.0,
release,plugin-1.5,
rng,1.2,
scxml,0.7,
scxml,0.9,
transaction,1.2,
validator,1.6,
vfs2-distribution,2.2,
weaver,2.0,
discovery,0.1,
jcs,1.3,
jxpath,1.0,
launcher,0.9,
logging,1.0,
modeler,1.0,
